match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
8030234459;1927;1731293749;8849837.0;FALL VICTIMS;9005364.0;Night Vision;17163;Dota 2 Space League;924749;1;32;35;False;21
8030210866;1459;1731291567;9005364.0;Night Vision;8849837.0;FALL VICTIMS;17163;Dota 2 Space League;924749;1;37;23;True;21
8030184951;1504;1731289243;8849837.0;FALL VICTIMS;9005364.0;Night Vision;17163;Dota 2 Space League;924749;1;36;19;True;21
8030158594;1850;1731286675;8850016.0;FLYING FORTUNE;8957156.0;Silent killer;17163;Dota 2 Space League;924737;1;24;38;False;21
8030125005;1831;1731283727;8957156.0;Silent killer;8850016.0;FLYING FORTUNE;17163;Dota 2 Space League;924737;1;42;20;True;21
8030085332;2306;1731280299;8849833.0;VERTEX PACK;8970060.0;Moonwalkers;17163;Dota 2 Space League;924709;1;46;40;True;21
8030034747;1848;1731276644;8970060.0;Moonwalkers;8849833.0;VERTEX PACK;17163;Dota 2 Space League;924709;1;31;23;True;21
8029995045;1782;1731274286;8849833.0;VERTEX PACK;8970060.0;Moonwalkers;17163;Dota 2 Space League;924709;1;29;15;True;21
8029939920;1652;1731271487;8987220.0;HolyTeam;8849817.0;ZEUS THUNDER GOD;17163;Dota 2 Space League;924688;1;34;18;True;21
8029932314;1707;1731271152;9563873.0;Elite Eclipse;8965054.0;EYE-Gaming;17366;Ultras Dota Pro League  2024-25;924653;1;63;21;True;21
8029884302;1777;1731269064;8849817.0;ZEUS THUNDER GOD;8987220.0;HolyTeam;17163;Dota 2 Space League;924688;1;11;25;False;21
8029842717;1996;1731267363;8965054.0;EYE-Gaming;9563873.0;Elite Eclipse;17366;Ultras Dota Pro League  2024-25;924653;1;33;30;True;21
8029756877;2114;1731264242;9563873.0;Elite Eclipse;8965054.0;EYE-Gaming;17366;Ultras Dota Pro League  2024-25;924653;1;47;25;True;21
8029756021;1957;1731265022;8255888.0;BetBoom Team;9247354.0;Team Falcons;17272;DreamLeague Season 24 powered by Intel;924557;2;12;42;False;21
